"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"220868_s_at",-2.67589891332749,2.74226314309091,-16.5388222921302,9.66483977583242e-33,7.77095756975937e-30,63.9181008367371
"237017_s_at",-2.99707966400848,2.81376072709917,-16.4666362236641,1.39331453161241e-32,1.10405031907114e-29,63.5570832656232
"233346_at",-2.47287352490441,2.68314899938843,-16.4226276360679,1.74192788438128e-32,1.36057010112209e-29,63.336667847889
"237154_at",-5.50893036188405,3.5766588232562,-16.3971819389522,1.9822154302813e-32,1.52644547395254e-29,63.2091138885566
"227529_s_at",-4.58814346698699,3.29550497667769,-16.3858983413166,2.09917084066339e-32,1.59405785712876e-29,63.1525257864505
"1554044_a_at",-4.9611667182862,3.31764262282645,-16.3813811928509,2.14791263971009e-32,1.60872772022122e-29,63.1298675047257
"238062_at",-2.78897867001696,2.83029133929752,-16.3701914241686,2.27360887211135e-32,1.67985898760389e-29,63.0737280452218
"228368_at",-3.79393424573925,3.03392830431405,-16.3624854592964,2.36444339559492e-32,1.7236792353887e-29,63.0350579047348
"239811_at",2.76311877401075,7.11635735804959,16.3273374208603,2.82727395287921e-32,2.03396320228515e-29,62.8585842190533
"230246_at",-2.6768819232172,2.93826529979339,-16.3054429833316,3.16055576588672e-32,2.24419982467346e-29,62.7485776892199
"241925_x_at",-3.4671208940345,2.87234295792562,-16.3013578472984,3.22697821004446e-32,2.26198761069463e-29,62.7280457364586
"238969_at",-3.13219749919513,2.85296086212397,-16.2910926892346,3.40014153551905e-32,2.35319922094309e-29,62.6764437856924
"230115_at",-2.27143004910859,2.80134427436364,-16.25960514876,3.99176208030828e-32,2.72811989676069e-29,62.5180776734666
"210832_x_at",-3.35017163080317,3.40954555440496,-16.2139391064616,5.03842336183729e-32,3.40026315555179e-29,62.2881834307208
"238919_at",-3.58457017230486,2.99541284198347,-16.2115729539119,5.09961735263369e-32,3.40026315555179e-29,62.2762646207505
"219937_at",-2.74204815089649,2.78642084964463,-16.1901442944271,5.688955959689e-32,3.74751406139754e-29,62.1682925371001
"218864_at",-3.13465562374604,4.08277846456198,-16.1464257312212,7.11222217058455e-32,4.62929460924655e-29,61.9478336564399
"206955_at",-4.40711327499321,5.06699047757851,-16.1302716903776,7.72434871457598e-32,4.96857371728755e-29,61.8663145417481
"208591_s_at",-2.14193892546889,2.62210221545455,-16.0748361777608,1.02568200628585e-31,6.52083298763705e-29,61.586323769305
"237248_at",-3.66184467429695,3.02947032979339,-16.0654141298812,1.07636542773315e-31,6.76439997256434e-29,61.538697998093
"219738_s_at",-3.61917518253959,3.02441831539669,-16.0090133263156,1.43696127763828e-31,8.92793839259922e-29,61.2533813991945
"209818_s_at",-1.6065738691233,4.55784019416529,-15.9763172304525,1.69928028815725e-31,1.04391179499997e-28,61.0878031426229
"231380_at",-2.73737294809163,2.83592571942149,-15.9515542579878,1.92953654615805e-31,1.17219345179101e-28,60.9623130274296
"1558421_a_at",-5.33584988957523,3.51003232935537,-15.8888981445974,2.66214484557267e-31,1.59948098276578e-28,60.6444616810443
"205108_s_at",-2.79185538841063,2.75411635042149,-15.8020274284688,4.16256993704515e-31,2.47378816639069e-28,60.2029865198838
"206208_at",-2.6123859994655,3.13531574218182,-15.7880050269121,4.47438475035919e-31,2.63050522823536e-28,60.1316398545394
"239523_at",-5.20868806962726,4.1405002467686,-15.7778688432316,4.71429579312163e-31,2.74206513286091e-28,60.0800517614201
"223704_s_at",-2.09928456961991,2.65331145691736,-15.7592510461332,5.189131390555e-31,2.98648167135362e-28,59.9852644159861
"229011_at",-3.40303596458032,4.1515169914876,-15.7438789412311,5.61720028476987e-31,3.19917109968534e-28,59.9069703212957
"205824_at",-3.5558837107681,4.39598856580165,-15.7230929678957,6.25299799901491e-31,3.5103050340331e-28,59.8010570481476
"233496_s_at",-2.55408555863348,2.94201840822314,-15.7218908550095,6.29190477064917e-31,3.5103050340331e-28,59.7949301981601
"232187_at",-2.25163505764706,2.71991942332231,-15.7106508871038,6.66766316905164e-31,3.68236852290806e-28,59.7376347182924
"203641_s_at",-2.64180715328846,2.76215657019008,-15.6703496151808,8.21014761467636e-31,4.4802799692466e-28,59.5320760433083
"235849_at",-5.47416680781957,4.11153101727273,-15.6687955159591,8.27632879549899e-31,4.4802799692466e-28,59.5241454079629
"229015_at",-2.18492963869117,2.76597782585124,-15.6542383809329,8.92285737867007e-31,4.78291399194888e-28,59.4498457727973
"241765_at",-3.08434904654016,3.34915773984298,-15.6289894646599,1.01668813598269e-30,5.39683726551978e-28,59.320915565298
"239398_at",-4.76688465683541,3.78209044752066,-15.6212187901032,1.05837445538038e-30,5.56409839883867e-28,59.2812204323273
"219902_at",-3.99113931335294,3.51121362821488,-15.6148876985678,1.09360408614624e-30,5.69455270571862e-28,59.2488738654593
"243311_at",-5.32651497691403,3.44833421547934,-15.6026360732474,1.1651589791568e-30,5.95374459676617e-28,59.1862648511359
"212705_x_at",-2.00881218825396,4.80976439402479,-15.4808096180401,2.1902491765465e-30,1.10881364562667e-27,58.5627357088486
"236936_at",-2.64828451776866,2.79230583712397,-15.4710236634376,2.30432556516105e-30,1.15586238784569e-27,58.5125737544418
"227058_at",-3.06230580722794,5.2180542128843,-15.4353515072447,2.77308161333749e-30,1.3771486884016e-27,58.329626470567
